Date,Open,High,Low,Close
8-January-2025,35198.17,35198.21,34707.11,34958.85
9-January-2025,34979.50,34979.50,34652.81,34678.20
10-January-2025,34684.81,34718.55,34194.65,34287.66
13-January-2025,33931.65,34025.31,33344.63,33413.46
14-January-2025,33435.41,33854.26,33435.41,33776.55
15-January-2025,33979.14,34004.22,33720.94,33877.55
16-January-2025,34190.44,34226.82,34095.05,34136.78
17-January-2025,34177.29,34177.29,33908.51,34083.34
20-January-2025,34249.48,34344.86,34000.72,34279.07
21-January-2025,34384.15,34384.15,33664.18,33693.47
22-January-2025,33798.02,33802.01,33318.56,33650.82
23-January-2025,33659.09,33960.73,33573.79,33870.03
24-January-2025,33882.87,33983.21,33472.31,33525.19
27-January-2025,33293.63,33293.63,32832.92,32903.27
28-January-2025,33003.05,33202.32,32677.75,32930.85
29-January-2025,33020.40,33455.16,33018.29,33434.59
30-January-2025,33538.17,33679.01,33384.25,33520.73
31-January-2025,33595.48,34005.30,33542.21,33962.66
1-February-2025,34107.55,34165.79,33661.91,33953.60
3-February-2025,33765.43,33765.58,33505.71,33685.04
4-February-2025,33917.71,34216.96,33796.16,34197.57
5-February-2025,34311.37,34405.59,34235.90,34267.23
6-February-2025,34399.08,34403.59,34020.16,34100.23
7-February-2025,34125.83,34233.06,33861.85,34049.02
10-February-2025,34051.70,34059.38,33518.44,33615.47
11-February-2025,33608.77,33610.40,32834.98,32969.92
12-February-2025,32933.24,33036.57,32342.82,32902.92
13-February-2025,32933.51,33226.66,32845.33,32894.16
14-February-2025,33014.61,33026.99,32233.33,32465.88
17-February-2025,32303.32,32524.17,32018.36,32504.98
18-February-2025,32552.51,32552.51,32219.48,32433.14
19-February-2025,32333.07,32723.66,32210.88,32607.77
20-February-2025,32516.07,32772.49,32461.25,32757.57
21-February-2025,32740.99,32869.00,32430.41,32535.94
24-February-2025,32340.35,32340.35,32144.04,32193.81
25-February-2025,32214.73,32322.63,32077.99,32122.71
27-February-2025,32197.81,32205.89,31918.21,31964.79
28-February-2025,31767.12,31780.90,31197.56,31296.85
3-March-2025,31368.64,31490.09,30967.74,31335.96
4-March-2025,31147.05,31422.99,31006.02,31369.65
5-March-2025,31383.63,31917.85,31354.57,31906.57
6-March-2025,32200.02,32235.26,31923.90,32200.42
7-March-2025,32233.03,32363.51,32105.87,32198.93
10-March-2025,32290.57,32355.05,31868.03,31922.79
11-March-2025,31695.60,32039.18,31632.72,31991.60
12-March-2025,32077.09,32131.86,31688.01,31919.62
13-March-2025,32080.23,32080.23,31762.45,31785.90
17-March-2025,31823.60,32070.63,31811.78,31966.21
18-March-2025,32163.59,32567.94,32102.69,32543.43
19-March-2025,32655.11,32898.82,32548.11,32852.82
20-March-2025,33085.25,33211.85,32877.71,33171.19
21-March-2025,33178.43,33524.83,33117.80,33487.78
24-March-2025,33745.88,33996.13,33606.41,33913.46
25-March-2025,34110.20,34122.50,33672.81,33761.03
26-March-2025,33802.44,33890.20,33472.24,33495.53
27-March-2025,33396.33,33753.96,33378.74,33711.61
28-March-2025,33760.08,33852.72,33491.39,33579.22
1-April-2025,33445.86,33671.46,33111.22,33153.99
2-April-2025,33217.99,33481.80,33063.55,33459.65
3-April-2025,33150.03,33445.25,33148.72,33420.86
4-April-2025,33354.43,33370.80,32635.34,32739.88
7-April-2025,30571.62,31784.33,30571.61,31664.36
8-April-2025,32141.69,32400.32,31845.31,32233.70
9-April-2025,32176.44,32176.44,31885.94,32044.58
11-April-2025,32617.87,32762.86,32485.69,32666.11
15-April-2025,33306.30,33516.24,33156.49,33482.62
16-April-2025,33573.58,33688.02,33436.81,33670.31
17-April-2025,33642.96,34145.82,33505.92,34109.67
21-April-2025,34281.93,34648.98,34189.94,34609.70
22-April-2025,34739.45,34842.64,34526.24,34730.29
23-April-2025,34948.42,34999.83,34586.89,34962.78
24-April-2025,34957.17,35013.35,34844.94,34880.67
25-April-2025,34907.48,35021.24,34081.02,34359.02
28-April-2025,34328.40,34798.62,34327.73,34765.79
29-April-2025,34849.46,35001.54,34741.76,34785.55
30-April-2025,34796.61,34880.05,34505.40,34640.35
2-May-2025,34646.74,34985.85,34498.51,34623.50
5-May-2025,34719.56,34942.74,34719.18,34918.71
6-May-2025,34957.76,34987.83,34490.18,34548.63
7-May-2025,34074.11,34740.09,34072.11,34722.20
8-May-2025,34794.46,34830.72,34187.69,34339.70
9-May-2025,33582.25,34164.79,33582.25,34105.30
12-May-2025,34821.85,35431.30,34776.55,35412.40
13-May-2025,35397.60,35502.42,35095.80,35144.23
14-May-2025,35230.39,35445.25,35179.19,35374.47
15-May-2025,35439.24,35872.76,35244.41,35836.63
16-May-2025,35867.31,35984.77,35791.43,35957.63
19-May-2025,36031.46,36108.78,35901.53,35953.27
20-May-2025,36041.66,36083.76,35489.22,35513.57
21-May-2025,35570.77,35868.80,35508.55,35742.34
22-May-2025,35659.16,35659.16,35338.06,35542.53
23-May-2025,35550.82,35860.29,35518.67,35813.43
26-May-2025,35927.07,36108.49,35906.73,36008.30
27-May-2025,35996.21,36098.55,35728.49,35874.97
